query_id	subject_id	n_of_mismatches	e_value	bit_score	name	gene	number1	cog	involve	mission	bacteria	NC_000964	medium	locus	gene_ontology	p
BOLPKDDJ_00025	DEG10510011	0	0.0	548.0	DEG1051	aroE	Protein_ID: AAG03415.1	-	-	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0025	-	-
BOLPKDDJ_00035	DEG10510160	87	1.2e-12	60.1	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00036	DEG10510012	0	0.0	539.0	DEG1051	trpA	Protein_ID: AAG03425.1	-	-	tryptophan synthase alpha chain	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0035	-	-
BOLPKDDJ_00037	DEG10510013	0	0.0	832.0	DEG1051	trpB	Protein_ID: AAG03426.1	-	-	tryptophan synthase beta chain	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0036	-	-
BOLPKDDJ_00056	DEG10510538	23	2.41e-06	44.3	DEG1051	glmS	Protein_ID: AAG08934.1	-	-	glucosamine--fructose-6-phosphate aminotransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA5549	-	-
BOLPKDDJ_00080	DEG10510181	118	1.7100000000000001e-31	110.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00099	DEG10510014	0	1.63e-64	184.0	DEG1051	-	Protein_ID: AAG03482.1	-	-	hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0092	-	-
BOLPKDDJ_00120	DEG10510533	129	3.07e-14	66.2	DEG1051	ubiA	Protein_ID: AAG08743.1	-	-	4-hydroxybenzoate-octaprenyl transferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA5358	-	-
BOLPKDDJ_00124	DEG10510172	126	1.18e-11	57.4	DEG1051	fabG	Protein_ID: AAG06355.1	-	-	3-oxoacyl-[acyl-carrier-protein] reductase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2967	-	-
BOLPKDDJ_00132	DEG10510015	0	1.64e-51	150.0	DEG1051	-	Protein_ID: AAG03515.1	-	-	hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0125	-	-
BOLPKDDJ_00139	DEG10510034	283	2.66e-59	196.0	DEG1051	bioA	Protein_ID: AAG03809.1	-	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0420	-	-
BOLPKDDJ_00143	DEG10510389	142	2.63e-24	96.3	DEG1051	-	Protein_ID: AAG07849.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA4461	-	-
BOLPKDDJ_00143	DEG10510389	146	1.35e-07	47.0	DEG1051	-	Protein_ID: AAG07849.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA4461	-	-
BOLPKDDJ_00147	DEG10510118	183	1e-09	54.7	DEG1051	lpdG	Protein_ID: AAG04976.1	-	-	lipoamide dehydrogenase-glc	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA1587	-	-
BOLPKDDJ_00179	DEG10510259	211	2.1e-48	160.0	DEG1051	wspF	Protein_ID: AAG07090.1	-	-	probable methylesterase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA3703	-	-
BOLPKDDJ_00185	DEG10510160	72	1.32e-14	63.2	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00188	DEG10510172	150	2.06e-35	121.0	DEG1051	fabG	Protein_ID: AAG06355.1	-	-	3-oxoacyl-[acyl-carrier-protein] reductase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2967	-	-
BOLPKDDJ_00190	DEG10510181	123	2.1700000000000002e-32	114.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00205	DEG10510083	122	7.15e-35	119.0	DEG1051	tolQ	Protein_ID: AAG04358.1	-	-	TolQ protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0969	-	-
BOLPKDDJ_00206	DEG10510084	73	3.63e-21	78.2	DEG1051	tolR	Protein_ID: AAG04359.1	-	-	TolR protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0970	-	-
BOLPKDDJ_00209	DEG10510395	292	3.4600000000000003e-43	154.0	DEG1051	gatA	Protein_ID: AAG07871.1	-	-	Glu-tRNA(Gln) amidotransferase subunit A	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA4483	-	-
BOLPKDDJ_00213	DEG10510181	136	3.23e-31	113.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00218	DEG10510191	83	2.26e-13	63.2	DEG1051	accD	Protein_ID: AAG06500.1	-	-	acetyl-CoA carboxylase beta subunit	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA3112	-	-
BOLPKDDJ_00221	DEG10510173	171	6.48e-35	123.0	DEG1051	fabD	Protein_ID: AAG06356.1	-	-	malonyl-CoA-[acyl-carrier-protein] transacylase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2968	-	-
BOLPKDDJ_00228	DEG10510034	309	4.23e-53	179.0	DEG1051	bioA	Protein_ID: AAG03809.1	-	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0420	-	-
BOLPKDDJ_00230	DEG10510090	183	2.78e-32	115.0	DEG1051	dapA	Protein_ID: AAG04399.1	-	-	dihydrodipicolinate synthase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA1010	-	-
BOLPKDDJ_00237	DEG10510152	281	1.16e-17	79.3	DEG1051	purB	Protein_ID: AAG06017.1	-	-	adenylosuccinate lyase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2629	-	-
BOLPKDDJ_00251	DEG10510011	162	5.72e-14	64.7	DEG1051	aroE	Protein_ID: AAG03415.1	-	-	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0025	-	-
BOLPKDDJ_00252	DEG10510453	54	1.7500000000000001e-56	168.0	DEG1051	aroQ1	Protein_ID: AAG08231.1	-	-	3-dehydroquinate dehydratase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA4846	-	-
BOLPKDDJ_00261	DEG10510513	325	4.43e-40	145.0	DEG1051	-	Protein_ID: AAG08622.1	-	-	conserved hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA5237	-	-
BOLPKDDJ_00273	DEG10510288	254	1.62e-44	155.0	DEG1051	hemL	Protein_ID: AAG07364.1	-	-	glutamate-1-semialdehyde 2,1-aminomutase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA3977	-	-
BOLPKDDJ_00274	DEG10510160	77	4.12e-07	45.8	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00287	DEG10510181	128	1.49e-37	129.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00303	DEG10510500	298	5.96e-31	119.0	DEG1051	glnA	Protein_ID: AAG08504.1	-	-	glutamine synthetase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA5119	-	-
BOLPKDDJ_00305	DEG10510500	255	3.8000000000000004e-36	133.0	DEG1051	glnA	Protein_ID: AAG08504.1	-	-	glutamine synthetase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA5119	-	-
BOLPKDDJ_00306	DEG10510034	284	6.39e-70	224.0	DEG1051	bioA	Protein_ID: AAG03809.1	-	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0420	-	-
BOLPKDDJ_00309	DEG10510181	119	5.51e-36	125.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00324	DEG10510104	142	3.58e-15	70.9	DEG1051	pdxB	Protein_ID: AAG04764.1	-	-	erythronate-4-phosphate dehydrogenase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA1375	-	-
BOLPKDDJ_00335	DEG10510181	148	1.53e-28	105.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00339	DEG10510016	0	1.85e-164	447.0	DEG1051	rpiA	Protein_ID: AAG03719.1	-	-	ribose 5-phosphate isomerase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0330	-	-
BOLPKDDJ_00340	DEG10510013	122	3.81e-07	46.2	DEG1051	trpB	Protein_ID: AAG03426.1	-	-	tryptophan synthase beta chain	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0036	-	-
BOLPKDDJ_00345	DEG10510017	0	1.8900000000000003e-163	444.0	DEG1051	-	Protein_ID: AAG03724.1	-	-	hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0335	-	-
BOLPKDDJ_00351	DEG10510018	0	0.0	533.0	DEG1051	lgt	Protein_ID: AAG03730.1	-	-	prolipoprotein diacylglyceryl transferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0341	-	-
BOLPKDDJ_00352	DEG10510019	0	0.0	553.0	DEG1051	thyA	Protein_ID: AAG03731.1	-	-	thymidylate synthase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0342	-	-
BOLPKDDJ_00360	DEG10510020	0	6.95e-119	328.0	DEG1051	folA	Protein_ID: AAG03739.1	-	-	dihydrofolate reductase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0350	-	-
BOLPKDDJ_00363	DEG10510021	0	0.0	1260.0	DEG1051	ilvD	Protein_ID: AAG03742.1	-	-	dihydroxy-acid dehydratase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0353	-	-
BOLPKDDJ_00372	DEG10510022	0	1.95e-58	168.0	DEG1051	fdx1	Protein_ID: AAG03751.1	-	-	ferredoxin (4Fe-4S)	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0362	-	-
BOLPKDDJ_00373	DEG10510023	0	8.85e-118	324.0	DEG1051	coaD	Protein_ID: AAG03752.1	-	-	phosphopantetheine adenylyltransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0363	-	-
BOLPKDDJ_00384	DEG10510024	0	0.0	895.0	DEG1051	ftsY	Protein_ID: AAG03762.1	-	-	signal recognition particle receptor FtsY	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0373	-	-
BOLPKDDJ_00385	DEG10510181	109	2.95e-41	135.0	DEG1051	-	Protein_ID: AAG06375.1	-	-	probable ATP-binding component of ABC transporter	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2987	-	-
BOLPKDDJ_00387	DEG10510025	0	0.0	581.0	DEG1051	rpoH	Protein_ID: AAG03765.1	-	-	sigma factor RpoH	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0376	-	-
BOLPKDDJ_00391	DEG10510026	0	1.74e-44	132.0	DEG1051	-	Protein_ID: AAG03769.1	-	-	conserved hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0380	-	-
BOLPKDDJ_00392	DEG10510027	0	0.0	534.0	DEG1051	thiG	Protein_ID: AAG03770.1	-	-	thiamine biosynthesis protein, thiazole moiety	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0381	-	-
BOLPKDDJ_00400	DEG10510028	0	2.5400000000000003e-157	428.0	DEG1051	-	Protein_ID: AAG03778.1	-	-	hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0389	-	-
BOLPKDDJ_00401	DEG10510029	0	0.0	792.0	DEG1051	metX	Protein_ID: AAG03779.1	-	-	homoserine O-acetyltransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0390	-	-
BOLPKDDJ_00405	DEG10510030	0	0.0	537.0	DEG1051	proC	Protein_ID: AAG03782.1	-	-	pyrroline-5-carboxylate reductase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0393	-	-
BOLPKDDJ_00412	DEG10510188	217	1.61e-97	291.0	DEG1051	metZ	Protein_ID: AAG06495.1	-	-	o-succinylhomoserine sulfhydrylase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA3107	-	-
BOLPKDDJ_00413	DEG10510031	0	0.0	842.0	DEG1051	-	Protein_ID: AAG03790.1	-	-	noncatalytic dihydroorotase-like protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0401	-	-
BOLPKDDJ_00414	DEG10510032	0	0.0	682.0	DEG1051	pyrB	Protein_ID: AAG03791.1	-	-	aspartate carbamoyltransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0402	-	-
BOLPKDDJ_00416	DEG10510033	0	1.45e-106	295.0	DEG1051	-	Protein_ID: AAG03793.1	-	-	conserved hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0404	-	-
BOLPKDDJ_00420	DEG10510160	75	3.09e-12	56.6	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00421	DEG10510160	71	3.31e-17	70.5	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00425	DEG10510160	77	8.97e-09	54.3	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00426	DEG10510259	126	7.89e-17	74.7	DEG1051	wspF	Protein_ID: AAG07090.1	-	-	probable methylesterase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA3703	-	-
BOLPKDDJ_00432	DEG10510034	0	0.0	972.0	DEG1051	bioA	Protein_ID: AAG03809.1	-	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0420	-	-
BOLPKDDJ_00442	DEG10510035	0	0.0	601.0	DEG1051	metF	Protein_ID: AAG03819.1	-	-	5,10-methylenetetrahydrofolate reductase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0430	-	-
BOLPKDDJ_00444	DEG10510036	0	0.0	973.0	DEG1051	sahH	Protein_ID: AAG03821.1	-	-	S-adenosyl-L-homocysteine hydrolase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0432	-	-
BOLPKDDJ_00453	DEG10510031	292	2.43e-17	78.2	DEG1051	-	Protein_ID: AAG03790.1	-	-	noncatalytic dihydroorotase-like protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0401	-	-
BOLPKDDJ_00475	DEG10510160	68	1.46e-11	57.4	DEG1051	-	Protein_ID: AAG06186.1	-	-	probable two-component response regulator	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA2798	-	-
BOLPKDDJ_00506	DEG10510454	44	1.12e-16	64.7	DEG1051	accB	Protein_ID: AAG08232.1	-	-	biotin carboxyl carrier protein (BCCP)	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA4847	-	-
BOLPKDDJ_00507	DEG10510455	193	2.4100000000000002e-166	471.0	DEG1051	accC	Protein_ID: AAG08233.1	-	-	biotin carboxylase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA4848	-	-
BOLPKDDJ_00513	DEG10510038	0	0.0	737.0	DEG1051	bioB	Protein_ID: AAG03889.1	-	-	biotin synthase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0500	-	-
BOLPKDDJ_00514	DEG10510039	0	0.0	794.0	DEG1051	bioF	Protein_ID: AAG03890.1	-	-	8-amino-7-oxononanoate synthase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0501	-	-
BOLPKDDJ_00516	DEG10510040	0	0.0	541.0	DEG1051	-	Protein_ID: AAG03892.1	-	-	probable biotin synthesis protein BioC	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0503	-	-
BOLPKDDJ_00517	DEG10510041	0	2.62e-160	437.0	DEG1051	bioD	Protein_ID: AAG03893.1	-	-	dethiobiotin synthase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0504	-	-
BOLPKDDJ_00544	DEG10510288	192	3.49e-32	120.0	DEG1051	hemL	Protein_ID: AAG07364.1	-	-	glutamate-1-semialdehyde 2,1-aminomutase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA3977	-	-
BOLPKDDJ_00560	DEG10510042	0	0.0	814.0	DEG1051	metK	Protein_ID: AAG03935.1	-	-	methionine adenosyltransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0546	-	-
BOLPKDDJ_00561	DEG10510495	102	1.85e-08	48.9	DEG1051	ubiE	Protein_ID: AAG08448.1	-	-	ubiquinone biosynthesis methyltransferase UbiE	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA5063	-	-
BOLPKDDJ_00562	DEG10510043	0	0.0	1376.0	DEG1051	tktA	Protein_ID: AAG03937.1	-	-	transketolase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0548	-	-
BOLPKDDJ_00565	DEG10510044	0	0.0	726.0	DEG1051	epd	Protein_ID: AAG03940.1	-	-	D-erythrose 4-phosphate dehydrogenase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0551	-	-
BOLPKDDJ_00566	DEG10510045	0	0.0	767.0	DEG1051	pgk	Protein_ID: AAG03941.1	-	-	phosphoglycerate kinase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0552	-	-
BOLPKDDJ_00569	DEG10510046	0	0.0	734.0	DEG1051	fda	Protein_ID: AAG03944.1	-	-	fructose-1,6-bisphosphate aldolase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0555	-	-
BOLPKDDJ_00572	DEG10510040	55	1.64e-07	45.4	DEG1051	-	Protein_ID: AAG03892.1	-	-	probable biotin synthesis protein BioC	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0503	-	-
BOLPKDDJ_00592	DEG10510047	0	0.0	1244.0	DEG1051	rpoD	Protein_ID: AAG03965.1	-	-	sigma factor RpoD	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0576	-	-
