Orthogroup	hi_protein	pa_protein	sa_mrsa_protein
OG0000010		AAG03557.1, AAG03632.1, AAG03825.1, AAG03864.1, AAG04228.1, AAG04615.1, AAG04672.1, AAG04679.1, AAG04893.1, AAG05225.1, AAG05253.1, AAG05584.1, AAG05658.1, AAG06394.1, AAG06422.1, AAG07066.1, AAG07360.1, AAG08759.1	WIO67408.1
OG0000011		AAG04170.1, AAG04320.1, AAG04660.1, AAG04754.1, AAG05002.1, AAG05310.1, AAG05445.1, AAG05458.1, AAG05477.1, AAG05677.1, AAG05978.1, AAG06076.1, AAG06656.1, AAG07177.1, AAG07288.1, AAG07422.1, AAG08062.1, AAG08096.1, AAG08282.1	
OG0000012	AJO88242.1	AAG03423.1, AAG04317.1, AAG04380.1, AAG04785.1, AAG05000.1, AAG05364.1, AAG05380.1, AAG05971.1, AAG06212.1, AAG06432.1, AAG06659.1, AAG06850.1, AAG07333.1, AAG07361.1, AAG07499.1, AAG08241.1, AAG08367.1	
OG0000013		AAG03541.1, AAG03582.1, AAG03823.1, AAG03859.1, AAG04063.1, AAG04084.1, AAG04711.1, AAG05298.1, AAG05723.1, AAG05786.1, AAG05854.1, AAG06299.1, AAG07543.1, AAG07555.1, AAG07609.1, AAG07902.1, AAG08222.1	
OG0000014	AJO87328.1, AJO87856.1, AJO87894.1	AAG04546.1, AAG05026.1, AAG05188.1, AAG06580.1, AAG06592.1, AAG07488.1, AAG08368.1, AAG08585.1, AAG08745.1	WIO64596.1, WIO64788.1, WIO65935.1
OG0000015	AJO87594.1, AJO87692.1, AJO87732.1, AJO88127.1, AJO88372.1	AAG04281.1, AAG04645.1, AAG04728.1, AAG06314.1, AAG07579.1, AAG08459.1, AAG08537.1	WIO64950.1, WIO65609.1, WIO66660.1
OG0000016	AJO87844.1	AAG03548.1, AAG03815.1, AAG04825.1, AAG05406.1, AAG05882.1, AAG05908.1, AAG05914.1, AAG05915.1, AAG06910.1, AAG07064.1, AAG07594.1, AAG07763.1, AAG07986.1	WIO65467.1
OG0000017	AJO87845.1	AAG03546.1, AAG03547.1, AAG03814.1, AAG04824.1, AAG05407.1, AAG05777.1, AAG05881.1, AAG05909.1, AAG05916.1, AAG06911.1, AAG07065.1, AAG07593.1, AAG07762.1, AAG07987.1	
OG0000018		AAG03539.1, AAG03861.1, AAG04064.1, AAG04689.1, AAG04752.1, AAG05300.1, AAG05438.1, AAG05481.1, AAG05775.1, AAG05814.1, AAG05856.1, AAG06798.1, AAG07286.1, AAG08281.1	WIO67314.1
OG0000019		AAG03856.1, AAG03862.1, AAG04422.1, AAG04574.1, AAG04855.1, AAG05012.1, AAG05044.1, AAG05279.1, AAG05395.1, AAG05861.1, AAG06201.1, AAG06209.1, AAG06423.1, AAG07231.1, AAG07789.1	
OG0000020		AAG04487.1, AAG04632.1, AAG04725.1, AAG05565.1, AAG05959.1, AAG06270.1, AAG07584.1, AAG07681.1, AAG07786.1, AAG07882.1, AAG07934.1, AAG08111.1, AAG08509.1, AAG08550.1, AAG08897.1	
OG0000021			WIO66316.1, WIO66368.1, WIO66369.1, WIO66370.1, WIO66372.1, WIO66373.1, WIO66374.1, WIO66375.1, WIO66376.1, WIO66377.1, WIO66378.1, WIO66382.1, WIO67030.1, WIO67031.1, WIO67032.1
OG0000022	AJO88158.1	AAG04741.1, AAG05480.1, AAG05607.1, AAG05702.1, AAG06321.1, AAG06691.1, AAG06724.1, AAG07160.1, AAG07483.1, AAG07500.1, AAG07743.1, AAG08933.1	WIO65652.1
OG0000023		AAG03695.1, AAG04220.1, AAG04571.1, AAG05484.1, AAG05615.1, AAG05944.1, AAG05976.1, AAG06092.1, AAG06415.1, AAG06482.1, AAG06603.1, AAG08173.1, AAG08417.1, AAG08709.1	
OG0000024		AAG04133.1, AAG04134.1, AAG04410.1, AAG04629.1, AAG05018.1, AAG05210.1, AAG05401.1, AAG06155.1, AAG06229.1, AAG06278.1, AAG06814.1, AAG06979.1, AAG07718.1, AAG08365.1	
OG0000025	AJO87581.1	AAG03422.1, AAG03427.1, AAG03596.1, AAG03837.1, AAG04173.1, AAG04573.1, AAG05771.1, AAG06318.1, AAG07232.1, AAG07496.1, AAG08299.1, AAG08678.1	
OG0000026	AJO87841.1	AAG04620.1, AAG04626.1, AAG05818.1, AAG06224.1, AAG06524.1, AAG06692.1, AAG06748.1, AAG06790.1, AAG07279.1, AAG08544.1, AAG08617.1	WIO65557.1
OG0000027		AAG03540.1, AAG03860.1, AAG04065.1, AAG04690.1, AAG04753.1, AAG05299.1, AAG05439.1, AAG05482.1, AAG05776.1, AAG05855.1, AAG06797.1, AAG07287.1, AAG08280.1	
OG0000028		AAG03553.1, AAG04180.1, AAG04253.1, AAG04498.1, AAG04618.1, AAG04624.1, AAG04988.1, AAG05720.1, AAG05876.1, AAG06811.1, AAG07217.1, AAG07314.1, AAG07676.1	
OG0000029		AAG03853.1, AAG04319.1, AAG04547.1, AAG04569.1, AAG05187.1, AAG06044.1, AAG06075.1, AAG06579.1, AAG06594.1, AAG07423.1, AAG07489.1, AAG08584.1	WIO65566.1
OG0000030	AJO87186.1	AAG03806.1, AAG05009.1, AAG05694.1, AAG06098.1, AAG06304.1, AAG06317.1, AAG07053.1, AAG07895.1, AAG08143.1, AAG08634.1, AAG08726.1	
OG0000031	AJO87227.1	AAG03816.1, AAG04627.1, AAG05779.1, AAG05883.1, AAG05913.1, AAG06225.1, AAG06909.1, AAG07281.1, AAG07595.1, AAG07985.1, AAG08543.1	
OG0000032	AJO87609.1, AJO88467.1	AAG04222.1, AAG04362.1, AAG04430.1, AAG04437.1, AAG04508.1, AAG04850.1, AAG05166.1, AAG06288.1, AAG06914.1, AAG07080.1	
OG0000033	AJO87842.1, AJO87880.1	AAG03847.1, AAG04625.1, AAG06223.1, AAG06525.1, AAG08545.1	WIO65376.1, WIO65556.1, WIO65612.1, WIO66003.1, WIO66045.1
OG0000034	AJO87847.1, AJO88255.1, AJO88506.1	AAG03817.1, AAG03844.1, AAG06228.1, AAG06660.1, AAG06854.1, AAG07248.1, AAG07337.1	WIO64661.1, WIO65295.1
OG0000035	AJO88374.1	AAG03576.1, AAG05684.1, AAG05982.1, AAG05983.1, AAG05984.1, AAG05987.1, AAG06833.1, AAG06837.1, AAG06901.1, AAG07325.1, AAG08930.1	
OG0000036	AJO88476.1	AAG05945.1, AAG06281.1, AAG06687.1, AAG06688.1, AAG07247.1, AAG07311.1, AAG07585.1, AAG07616.1	WIO64889.1, WIO66126.1, WIO66511.1
OG0000037		AAG03810.1, AAG04656.1, AAG04878.1, AAG05583.1, AAG07100.1, AAG07250.1, AAG07936.1, AAG08376.1, AAG08469.1, AAG08530.1, AAG08689.1, AAG08801.1	
OG0000038		AAG04229.1, AAG04723.1, AAG06104.1, AAG06320.1, AAG06480.1, AAG07110.1, AAG07744.1, AAG08199.1, AAG08371.1, AAG08783.1	WIO66275.1, WIO66823.1
OG0000039		AAG04474.1, AAG05201.1	WIO65504.1, WIO65509.1, WIO65735.1, WIO65761.1, WIO65785.1, WIO65857.1, WIO66175.1, WIO66402.1, WIO66607.1, WIO66697.1
OG0000040	AJO87091.1	AAG04778.1, AAG04780.1, AAG06447.1, AAG08389.1	WIO64500.1, WIO65861.1, WIO66039.1, WIO66501.1, WIO66502.1, WIO66900.1
OG0000041	AJO87665.1	AAG03624.1, AAG04200.1, AAG04408.1, AAG05394.1, AAG05502.1, AAG05860.1, AAG06855.1, AAG07574.1, AAG08285.1, AAG08288.1	
OG0000042	AJO87765.1	AAG04449.1, AAG04654.1, AAG04800.1, AAG05489.1, AAG06100.1, AAG06746.1, AAG06816.1, AAG07284.1, AAG08165.1, AAG08169.1	
OG0000043	AJO88495.1	AAG04056.1, AAG05260.1, AAG07174.1, AAG07792.1, AAG08748.1	WIO64543.1, WIO65049.1, WIO65242.1, WIO66103.1, WIO66170.1
OG0000044	AJO88579.1	AAG03923.1, AAG04417.1, AAG04954.1, AAG04956.1, AAG05306.1, AAG05705.1, AAG06164.1, AAG06812.1, AAG07573.1, AAG08694.1	
OG0000045		AAG03608.1, AAG03654.1, AAG04287.1, AAG04416.1, AAG05711.1, AAG06892.1, AAG07460.1, AAG07576.1, AAG08284.1, AAG08697.1, AAG08758.1	
OG0000046		AAG03661.1, AAG03866.1, AAG04612.1, AAG04788.1, AAG05509.1, AAG05880.1, AAG05939.1, AAG06222.1, AAG06709.1, AAG08287.1, AAG08574.1	
OG0000047		AAG03934.1, AAG05902.1, AAG05904.1, AAG06785.1, AAG06886.1, AAG07719.1, AAG08003.1, AAG08274.1, AAG08290.1, AAG08621.1, AAG08796.1	
OG0000048		AAG04531.1, AAG05687.1, AAG06190.1, AAG06637.1, AAG06769.1, AAG07144.1, AAG08490.1	WIO64799.1, WIO65030.1, WIO66158.1, WIO66413.1
OG0000049	AJO87082.1	AAG04146.1, AAG04827.1, AAG05868.1, AAG05912.1, AAG06198.1, AAG06466.1, AAG07768.1, AAG08163.1, AAG08271.1	
OG0000050	AJO87093.1, AJO87094.1, AJO87128.1	AAG04094.1, AAG04403.1, AAG04779.1, AAG05621.1, AAG08385.1	WIO65878.1, WIO66151.1
OG0000051	AJO87329.1	AAG08746.1, AAG08869.1	WIO64595.1, WIO65837.1, WIO65936.1, WIO66602.1, WIO66644.1, WIO67272.1, WIO67357.1
OG0000052		AAG03481.1, AAG03485.1, AAG03651.1, AAG04900.1, AAG05761.1, AAG06073.1, AAG06682.1, AAG06874.1, AAG08475.1, AAG08651.1	
OG0000053		AAG04575.1, AAG05478.1, AAG05714.1, AAG05736.1, AAG05744.1, AAG05986.1, AAG05988.1, AAG06832.1, AAG07341.1, AAG07542.1	
OG0000054			WIO66534.1, WIO66535.1, WIO66536.1, WIO66537.1, WIO66539.1, WIO66540.1, WIO66541.1, WIO66542.1, WIO66543.1, WIO66544.1
OG0000055	AJO87097.1	AAG03670.1, AAG03671.1, AAG05251.1, AAG05727.1, AAG05728.1, AAG06577.1, AAG06640.1	WIO65485.1
OG0000056	AJO87115.1	AAG05416.1, AAG05470.1, AAG05634.1, AAG05965.1, AAG07352.1, AAG07896.1, AAG08170.1, AAG08693.1	
OG0000057	AJO87256.1	AAG03845.1, AAG04350.1, AAG04548.1, AAG06010.1, AAG06654.1	WIO65908.1, WIO66731.1, WIO67260.1
OG0000058	AJO87739.1, AJO88542.1	AAG03983.1, AAG04088.1, AAG05194.1, AAG05384.1, AAG07258.1, AAG07563.1	WIO64934.1
OG0000059	AJO88004.1	AAG03922.1, AAG04786.1, AAG05366.1, AAG05764.1, AAG06992.1, AAG07266.1, AAG07461.1	WIO64978.1
OG0000060	AJO88373.1	AAG03575.1, AAG05683.1, AAG05695.1, AAG05715.1, AAG06831.1, AAG06836.1, AAG06900.1, AAG07323.1	
OG0000061		AAG03413.1, AAG04252.1, AAG04526.1, AAG05037.1, AAG05663.1, AAG05879.1, AAG06068.1, AAG06644.1, AAG08619.1	
OG0000062		AAG03511.1, AAG04186.1, AAG04658.1, AAG04909.1, AAG04915.1, AAG07572.1, AAG08291.1, AAG08910.1	WIO65696.1
OG0000063		AAG03592.1, AAG03684.1, AAG03689.1, AAG03690.1, AAG03712.1, AAG04799.1, AAG05980.1, AAG06099.1, AAG06998.1	
OG0000064		AAG03657.1, AAG05043.1, AAG05420.1, AAG05488.1, AAG06285.1, AAG07519.1, AAG07552.1, AAG08668.1, AAG08816.1	
OG0000065		AAG03936.1, AAG05422.1, AAG05665.1	WIO64868.1, WIO65357.1, WIO65952.1, WIO65968.1, WIO67399.1, WIO67413.1
OG0000066		AAG04608.1, AAG05693.1, AAG05787.1, AAG05788.2, AAG05790.1, AAG05812.1, AAG06715.1, AAG06717.1	WIO67302.1
OG0000067	AJO87156.1	AAG05778.1, AAG06245.1, AAG06375.1, AAG07982.1	WIO65563.1, WIO65902.1, WIO66603.1
OG0000068	AJO87364.1	AAG03593.1, AAG03693.1, AAG03713.1, AAG03995.1, AAG06641.1, AAG06997.1	WIO66968.1
OG0000069	AJO87548.1, AJO87879.1	AAG07884.1, AAG07885.1, AAG07888.1, AAG07890.1, AAG08702.1	WIO65666.1
OG0000070	AJO87610.1, AJO88737.1	AAG03706.1, AAG04805.1, AAG06414.1, AAG08158.1, AAG08739.1, AAG08740.1	
OG0000071	AJO88046.1	AAG04451.1, AAG05331.1, AAG05966.1, AAG08065.1	WIO65263.1, WIO67042.1, WIO67371.1
OG0000072	AJO88320.1	AAG04075.1, AAG06065.1, AAG06491.1, AAG07690.1, AAG07914.1, AAG08595.1	WIO64648.1
OG0000073	AJO88662.1	AAG06310.1, AAG07732.1	WIO65346.1, WIO65535.1, WIO66015.1, WIO66486.1, WIO67257.1
OG0000074	AJO88741.1	AAG03736.1, AAG05740.1, AAG06378.1	WIO64815.1, WIO65973.1, WIO66119.1, WIO66826.1
OG0000075		AAG03614.1, AAG03924.1, AAG05273.1, AAG05700.1, AAG07887.1, AAG08372.1, AAG08686.1	WIO66965.1
OG0000076		AAG03618.1, AAG04092.1, AAG07096.1, AAG07731.1, AAG08755.1, AAG08861.1, AAG08915.1	WIO66510.1
OG0000077		AAG03635.1, AAG04651.1, AAG04671.1, AAG04702.1, AAG04705.1, AAG05443.1	WIO65378.1, WIO67407.1
OG0000078		AAG03638.1, AAG03867.1, AAG04817.1, AAG05659.1, AAG07553.1, AAG07922.1, AAG08248.1, AAG08817.1	
OG0000079		AAG03711.1, AAG04536.1, AAG05429.1, AAG06985.1, AAG08190.1, AAG08895.1	WIO65812.1, WIO66520.1
OG0000080		AAG04217.1, AAG04704.1, AAG05408.1, AAG06154.1, AAG06521.1, AAG06962.1, AAG08216.1, AAG08369.1	
OG0000081		AAG04649.1, AAG04731.1, AAG05592.1, AAG06863.1, AAG07245.1, AAG07582.1, AAG08461.1, AAG08467.1	
OG0000082			WIO65617.1, WIO65692.1, WIO66021.1, WIO66498.1, WIO66499.1, WIO66500.1, WIO66727.1, WIO67389.1
OG0000083	AJO87083.1	AAG07320.1, AAG08676.1, AAG08760.1	WIO65395.1, WIO65823.1, WIO67212.1
OG0000084	AJO87320.1, AJO87603.1	AAG03998.1, AAG04390.1, AAG05147.1	WIO66653.1, WIO67227.1
OG0000085	AJO87363.1	AAG03594.1, AAG03692.1, AAG03714.1, AAG03994.1, AAG06996.1	WIO66967.1
OG0000086	AJO87462.1	AAG04976.1, AAG05638.1, AAG06379.1, AAG08214.1	WIO64622.1, WIO66963.1
OG0000087	AJO87544.1	AAG04095.1, AAG07240.1	WIO65750.1, WIO66065.1, WIO66703.1, WIO67256.1
OG0000088	AJO87545.1, AJO87910.1, AJO88586.1	AAG05337.1, AAG05647.1	WIO64833.1, WIO66166.1
OG0000089	AJO87618.1, AJO88096.1, AJO88720.1	AAG08382.1	WIO64960.1, WIO66585.1, WIO66626.1
OG0000090	AJO87768.1	AAG03883.1, AAG04789.1, AAG08233.1, AAG08821.1	WIO64630.1, WIO66981.1
OG0000091	AJO87837.1, AJO87925.1	AAG03729.1, AAG04179.1, AAG06235.1, AAG06845.1	WIO66789.1
OG0000092	AJO87857.1, AJO88204.1	AAG05640.1, AAG05921.1, AAG07029.1	WIO66877.1, WIO67218.1
OG0000093	AJO87975.1, AJO88754.1, AJO88755.1	AAG07011.1, AAG08309.1, AAG08518.1, AAG08936.1	
OG0000094	AJO88011.1, AJO88015.1	AAG04879.1, AAG06971.1, AAG08935.1	WIO65406.1, WIO67333.1
OG0000095	AJO88086.1, AJO88087.1, AJO88170.1	AAG04275.1, AAG07168.1, AAG08554.1, AAG08929.1	
OG0000096	AJO88119.1	AAG03789.1, AAG06495.1, AAG08410.1	WIO66306.1, WIO66307.1, WIO66398.1
OG0000097	AJO88166.1	AAG06572.1, AAG08823.1, AAG08891.1	WIO65521.1, WIO66095.1, WIO66212.1
OG0000098	AJO88272.1, AJO88458.1	AAG07620.1	WIO65076.1, WIO65310.1, WIO66231.1, WIO66314.1
OG0000099	AJO88288.1	AAG03989.1, AAG05367.1, AAG07265.1	WIO64942.1, WIO64979.1, WIO65590.1
OG0000100	AJO88306.1	AAG06216.1, AAG07185.1, AAG08108.1, AAG08361.1	WIO65033.1, WIO66914.1
OG0000101	AJO88343.1	AAG04099.1, AAG04206.1, AAG04269.1, AAG05934.1, AAG06912.1, AAG08496.1	
OG0000102		AAG03424.1, AAG03990.1, AAG05368.1, AAG05974.1, AAG06433.1, AAG07335.1, AAG07583.1	
OG0000103		AAG03569.1, AAG03656.1, AAG04845.1, AAG06465.1, AAG07769.1, AAG07784.1, AAG08749.1	
OG0000104		AAG03682.1, AAG05462.1, AAG06481.1, AAG06754.1, AAG06986.1, AAG07863.1, AAG08188.1	
OG0000105		AAG03899.1, AAG05167.1, AAG05999.1, AAG06291.1, AAG06292.1, AAG06336.1	WIO65596.1
OG0000106		AAG04074.1, AAG04771.1, AAG05105.1, AAG05257.1, AAG06493.1, AAG07692.1, AAG08425.1	
OG0000107		AAG04249.1, AAG04502.1, AAG04635.1, AAG05265.1, AAG06794.1, AAG07610.1, AAG07611.1	
OG0000108		AAG04520.1, AAG05296.1, AAG05657.1, AAG07621.1, AAG08667.1	WIO66635.1, WIO67332.1
OG0000109		AAG05017.1, AAG05126.1, AAG06402.1, AAG06978.1, AAG08573.1, AAG08771.1	WIO66124.1
OG0000110			WIO64905.1, WIO64906.1, WIO64907.1, WIO64908.1, WIO64909.1, WIO64910.1, WIO66913.1
OG0000111			WIO64920.1, WIO64921.1, WIO65094.1, WIO65095.1, WIO65618.1, WIO67027.1, WIO67383.1
OG0000112			WIO65097.1, WIO65386.1, WIO65491.1, WIO66025.1, WIO66676.1, WIO66902.1, WIO66998.1
OG0000113			WIO65678.1, WIO67029.1, WIO67038.1, WIO67168.1, WIO67170.1, WIO67171.1, WIO67173.1
OG0000114	AJO87063.1	AAG03885.1, AAG05498.1, AAG07897.1	WIO64706.1, WIO66657.1
OG0000115	AJO87081.1	AAG04145.1, AAG04568.1, AAG05867.1, AAG06045.1, AAG08162.1	
OG0000116	AJO87116.1, AJO87200.1	AAG06003.1	WIO64840.1, WIO66181.1, WIO67136.1
OG0000117	AJO87150.1, AJO87157.1	AAG06374.1, AAG06376.1, AAG07452.1, AAG07981.1	
OG0000118	AJO87154.1	AAG04605.1, AAG06559.1, AAG08176.1	WIO64750.1, WIO65983.1
OG0000119	AJO87161.1	AAG04242.1, AAG04613.1, AAG04614.1, AAG05668.1, AAG08360.1	
OG0000120	AJO87193.1, AJO87478.1	AAG04587.1, AAG04588.1, AAG06860.1	WIO66342.1
OG0000121	AJO87202.1	AAG03465.1, AAG05059.1, AAG05060.1, AAG05171.1	WIO67081.1
OG0000122	AJO87229.1, AJO88683.1	AAG04151.1, AAG05165.1, AAG06284.1, AAG06673.1	
OG0000123	AJO87254.1, AJO88013.1, AJO88078.1	AAG05431.1, AAG06634.1	WIO66872.1
OG0000124	AJO87261.1	AAG04733.1, AAG05217.1, AAG05391.1, AAG08292.1	WIO65675.1
OG0000125	AJO87319.1, AJO87602.1	AAG04038.1, AAG04391.1	WIO66652.1, WIO67228.1
OG0000126	AJO87325.1, AJO87326.1	AAG08752.1, AAG08753.1	WIO67247.1, WIO67248.1
OG0000127	AJO87378.1, AJO88133.1, AJO88237.1	AAG06123.1	WIO64903.1, WIO66380.1
OG0000128	AJO87438.1, AJO87795.1	AAG04155.1, AAG07834.1	WIO64823.1, WIO66886.1
OG0000129	AJO87444.1	AAG07464.1, AAG08061.1	WIO65909.1, WIO66297.1, WIO67409.1
OG0000130	AJO87490.1, AJO88116.1, AJO88537.1	AAG06347.1, AAG06952.1	WIO66430.1
OG0000131	AJO87551.1, AJO87590.1, AJO87651.1	AAG07893.1	WIO66854.1, WIO66858.1
OG0000132	AJO87587.1	AAG04794.1, AAG08828.1	WIO65000.1, WIO66360.1, WIO66834.1
OG0000133	AJO87607.1, AJO88554.1	AAG06553.1, AAG07835.1	WIO65884.1, WIO66662.1
OG0000134	AJO87637.1, AJO88067.1	AAG07389.1, AAG07801.1	WIO65298.1, WIO66980.1
OG0000135	AJO87784.1, AJO87846.1	AAG03683.1, AAG06345.1	WIO65770.1, WIO66006.1
OG0000136	AJO87838.1	AAG03725.1, AAG04379.1, AAG06013.1, AAG07142.1, AAG08226.1	
OG0000137	AJO87874.1	AAG03480.1, AAG05051.1, AAG05759.1, AAG07930.1	WIO66841.1
OG0000138	AJO88010.1	AAG05737.1, AAG07318.1, AAG08890.1	WIO66401.1, WIO66753.1
OG0000139	AJO88033.1, AJO88353.1	AAG03820.1, AAG04323.1, AAG08723.1	WIO64730.1
OG0000140	AJO88084.1, AJO88178.1	AAG06355.1, AAG07549.1, AAG08535.1	WIO67093.1
OG0000141	AJO88092.1	AAG04559.1, AAG04720.1, AAG08635.1, AAG08854.1	WIO66885.1
OG0000142	AJO88151.1	AAG03529.1, AAG04237.1, AAG06838.1, AAG06917.1	WIO66326.1
OG0000143	AJO88250.1	AAG04979.1, AAG05359.1	WIO66088.1, WIO66200.1, WIO67265.1
OG0000144	AJO88275.1, AJO88471.1	AAG03587.1, AAG04082.1, AAG04358.1, AAG06371.1	
OG0000145	AJO88277.1	AAG03612.1, AAG04399.1, AAG04643.1, AAG07575.1	WIO67254.1
OG0000146	AJO88284.1	AAG03430.1, AAG04081.1, AAG05851.1, AAG07928.1, AAG08012.1	
OG0000147	AJO88311.1, AJO88312.1, AJO88313.1, AJO88314.1		WIO65300.1, WIO65753.1
OG0000148	AJO88363.1	AAG04563.1, AAG05168.1, AAG06102.1, AAG06922.1	WIO65515.1
OG0000149	AJO88370.1	AAG04773.1, AAG07455.1, AAG08838.1, AAG08839.1	WIO66037.1
OG0000150	AJO88478.1	AAG06545.1, AAG08623.1, AAG08843.1	WIO65762.1, WIO66840.1
OG0000151	AJO88642.1	AAG03997.1, AAG04199.1, AAG06362.1, AAG06560.1	WIO66509.1
OG0000152	AJO88770.1	AAG06511.1, AAG06887.1, AAG08724.1, AAG08777.1	WIO66436.1
OG0000153		AAG03495.1, AAG04989.1, AAG05654.1, AAG05869.1, AAG07959.1, AAG08007.1	
OG0000154		AAG03568.1, AAG03797.1, AAG03802.1, AAG04847.1, AAG05211.1, AAG07091.1	
OG0000155		AAG03660.1, AAG04098.1, AAG05436.1, AAG05586.1, AAG06777.1, AAG06954.1	
OG0000156		AAG03685.1, AAG03687.1, AAG04955.1, AAG05428.1, AAG06744.1, AAG08907.1	
OG0000157		AAG03834.1, AAG05707.1, AAG06078.1, AAG06822.1, AAG07380.1, AAG08183.1	
OG0000158		AAG03888.1, AAG04382.1, AAG05517.1, AAG05520.1, AAG07470.1, AAG07472.1	
OG0000159		AAG04132.1, AAG04889.1, AAG04965.1, AAG05587.1, AAG06700.1, AAG06957.1	
