locus_tag	ftype	length_bp	gene	EC_number	COG	product
OHDNGLAN_00039	mRNA	1206				
OHDNGLAN_00039	CDS	1206				hypothetical protein
OHDNGLAN_00040	gene	915	lst			
OHDNGLAN_00040	mRNA	915	lst			
OHDNGLAN_00040	CDS	915	lst	2.4.99.-		CMP-N-acetylneuraminate:beta-galactoside alpha-2,3-sialyltransferase
OHDNGLAN_00041	gene	1062	pglH			
OHDNGLAN_00041	mRNA	1062	pglH			
OHDNGLAN_00041	CDS	1062	pglH	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
OHDNGLAN_00042	gene	774				
OHDNGLAN_00042	mRNA	774				
OHDNGLAN_00042	CDS	774				hypothetical protein
OHDNGLAN_00043	gene	885				
OHDNGLAN_00043	mRNA	885				
OHDNGLAN_00043	CDS	885				hypothetical protein
OHDNGLAN_00044	gene	804	wbbD			
OHDNGLAN_00044	mRNA	804	wbbD			
OHDNGLAN_00044	CDS	804	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
OHDNGLAN_00045	gene	768	modE			
OHDNGLAN_00045	mRNA	768	modE			
OHDNGLAN_00045	CDS	768	modE		COG2005	DNA-binding transcriptional dual regulator ModE
OHDNGLAN_00046	gene	765	modA			
OHDNGLAN_00046	mRNA	765	modA			
OHDNGLAN_00046	CDS	765	modA		COG0725	Molybdate-binding protein ModA
OHDNGLAN_00047	gene	690	modB			
OHDNGLAN_00047	mRNA	690	modB			
OHDNGLAN_00047	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
OHDNGLAN_00048	gene	1056	btuD_1			
OHDNGLAN_00048	mRNA	1056	btuD_1			
OHDNGLAN_00048	CDS	1056	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OHDNGLAN_00049	gene	1374				
OHDNGLAN_00049	mRNA	1374				
OHDNGLAN_00049	CDS	1374				hypothetical protein
OHDNGLAN_00050	gene	636	nth			
OHDNGLAN_00050	mRNA	636	nth			
OHDNGLAN_00050	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
OHDNGLAN_00051	gene	708	rnfE			
OHDNGLAN_00051	mRNA	708	rnfE			
OHDNGLAN_00051	CDS	708	rnfE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
OHDNGLAN_00052	gene	624	rsxG			
OHDNGLAN_00052	mRNA	624	rsxG			
OHDNGLAN_00052	CDS	624	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
OHDNGLAN_00053	gene	1077	rsxD			
OHDNGLAN_00053	mRNA	1077	rsxD			
OHDNGLAN_00053	CDS	1077	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
OHDNGLAN_00054	gene	2124	rsxC			
OHDNGLAN_00054	mRNA	2124	rsxC			
OHDNGLAN_00054	CDS	2124	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
OHDNGLAN_00055	gene	582	rnfB			
OHDNGLAN_00055	mRNA	582	rnfB			
OHDNGLAN_00055	CDS	582	rnfB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
OHDNGLAN_00056	gene	579	rsxA			
OHDNGLAN_00056	mRNA	579	rsxA			
OHDNGLAN_00056	CDS	579	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
OHDNGLAN_00057	gene	1062	sohB			
OHDNGLAN_00057	mRNA	1062	sohB			
OHDNGLAN_00057	CDS	1062	sohB	3.4.21.-	COG0616	putative protease SohB
OHDNGLAN_00058	gene	666				
OHDNGLAN_00058	mRNA	666				
OHDNGLAN_00058	CDS	666				hypothetical protein
OHDNGLAN_00059	gene	2157	yccS			
OHDNGLAN_00059	mRNA	2157	yccS			
OHDNGLAN_00059	CDS	2157	yccS		COG1289	Inner membrane protein YccS
OHDNGLAN_00060	gene	1953				
OHDNGLAN_00060	mRNA	1953				
OHDNGLAN_00060	CDS	1953		2.4.1.-		UDP-glucose:protein N-beta-glucosyltransferase
OHDNGLAN_00061	gene	1638				
OHDNGLAN_00061	mRNA	1638				
OHDNGLAN_00061	CDS	1638				hypothetical protein
OHDNGLAN_00062	gene	4578				
OHDNGLAN_00062	mRNA	4578				
OHDNGLAN_00062	CDS	4578				hypothetical protein
OHDNGLAN_00063	gene	1047				
OHDNGLAN_00063	mRNA	1047				
OHDNGLAN_00063	CDS	1047				hypothetical protein
OHDNGLAN_00064	gene	1377	radA			
OHDNGLAN_00064	mRNA	1377	radA			
OHDNGLAN_00064	CDS	1377	radA	3.6.4.-	COG1066	DNA repair protein RadA
OHDNGLAN_00065	gene	501	lrp			
OHDNGLAN_00065	mRNA	501	lrp			
OHDNGLAN_00065	CDS	501	lrp		COG1522	Leucine-responsive regulatory protein
OHDNGLAN_00066	gene	2769				
OHDNGLAN_00066	mRNA	2769				
OHDNGLAN_00066	CDS	2769				hypothetical protein
OHDNGLAN_00067	gene	618	lolA			
OHDNGLAN_00067	mRNA	618	lolA			
OHDNGLAN_00067	CDS	618	lolA		COG2834	Outer-membrane lipoprotein carrier protein
OHDNGLAN_00068	gene	1341	rarA			
OHDNGLAN_00068	mRNA	1341	rarA			
OHDNGLAN_00068	CDS	1341	rarA		COG2256	Replication-associated recombination protein A
OHDNGLAN_00069	gene	1299	aroA			
OHDNGLAN_00069	mRNA	1299	aroA			
OHDNGLAN_00069	CDS	1299	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
OHDNGLAN_00070	gene	837	purU			
OHDNGLAN_00070	mRNA	837	purU			
OHDNGLAN_00070	CDS	837	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
OHDNGLAN_00071	gene	405	hns			
OHDNGLAN_00071	mRNA	405	hns			
OHDNGLAN_00071	CDS	405	hns			DNA-binding protein H-NS
OHDNGLAN_00072	gene	1521				
OHDNGLAN_00072	mRNA	1521				
OHDNGLAN_00072	CDS	1521				hypothetical protein
OHDNGLAN_00073	gene	1722	ilvI			
OHDNGLAN_00073	mRNA	1722	ilvI			
OHDNGLAN_00073	CDS	1722	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
OHDNGLAN_00074	gene	492	ilvH			
OHDNGLAN_00074	mRNA	492	ilvH			
OHDNGLAN_00074	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
OHDNGLAN_00075	gene	1734	argS			
OHDNGLAN_00075	mRNA	1734	argS			
OHDNGLAN_00075	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
OHDNGLAN_00076	gene	570	yecM			
OHDNGLAN_00076	mRNA	570	yecM			
OHDNGLAN_00076	CDS	570	yecM		COG3102	Protein YecM
OHDNGLAN_00077	gene	252				
OHDNGLAN_00077	mRNA	252				
OHDNGLAN_00077	CDS	252				hypothetical protein
OHDNGLAN_00078	gene	465	pcp			
OHDNGLAN_00078	mRNA	465	pcp			
OHDNGLAN_00078	CDS	465	pcp		COG3133	Outer membrane lipoprotein pcp
OHDNGLAN_00079	gene	972				
OHDNGLAN_00079	mRNA	972				
OHDNGLAN_00079	CDS	972				hypothetical protein
OHDNGLAN_00080	gene	99				
OHDNGLAN_00080	mRNA	99				
OHDNGLAN_00080	CDS	99				hypothetical protein
OHDNGLAN_00081	gene	219				
OHDNGLAN_00081	mRNA	219				
OHDNGLAN_00081	CDS	219				hypothetical protein
OHDNGLAN_00082	gene	1650	pgi			
OHDNGLAN_00082	mRNA	1650	pgi			
OHDNGLAN_00082	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
OHDNGLAN_00083	gene	1083	alr			
OHDNGLAN_00083	mRNA	1083	alr			
OHDNGLAN_00083	CDS	1083	alr	5.1.1.1		Alanine racemase, biosynthetic
OHDNGLAN_00084	gene	1407	dnaB			
OHDNGLAN_00084	mRNA	1407	dnaB			
OHDNGLAN_00084	CDS	1407	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
OHDNGLAN_00085	gene	1437	pykA			
OHDNGLAN_00085	mRNA	1437	pykA			
OHDNGLAN_00085	CDS	1437	pykA	2.7.1.40	COG0469	Pyruvate kinase II
OHDNGLAN_00086	gene	77				
OHDNGLAN_00086	mRNA	77				
OHDNGLAN_00086	tRNA	77				tRNA-Val(gac)
OHDNGLAN_00087	gene	318				
OHDNGLAN_00087	mRNA	318				
OHDNGLAN_00087	CDS	318				hypothetical protein
OHDNGLAN_00088	gene	699				
OHDNGLAN_00088	mRNA	699				
OHDNGLAN_00088	CDS	699				hypothetical protein
OHDNGLAN_00089	gene	282				
OHDNGLAN_00089	mRNA	282				
OHDNGLAN_00089	CDS	282				hypothetical protein
OHDNGLAN_00090	gene	717				
OHDNGLAN_00090	mRNA	717				
OHDNGLAN_00090	CDS	717				hypothetical protein
OHDNGLAN_00091	gene	537	epmC			
OHDNGLAN_00091	mRNA	537	epmC			
OHDNGLAN_00091	CDS	537	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
OHDNGLAN_00092	gene	447				
OHDNGLAN_00092	mRNA	447				
OHDNGLAN_00092	CDS	447				hypothetical protein
OHDNGLAN_00093	gene	177				
OHDNGLAN_00093	mRNA	177				
OHDNGLAN_00093	CDS	177				hypothetical protein
OHDNGLAN_00094	gene	660				
OHDNGLAN_00094	mRNA	660				
OHDNGLAN_00094	CDS	660				hypothetical protein
OHDNGLAN_00095	gene	177				
OHDNGLAN_00095	mRNA	177				
OHDNGLAN_00095	CDS	177				hypothetical protein
OHDNGLAN_00096	gene	552				
OHDNGLAN_00096	mRNA	552				
OHDNGLAN_00096	CDS	552				hypothetical protein
OHDNGLAN_00097	gene	1086	prfA			
OHDNGLAN_00097	mRNA	1086	prfA			
OHDNGLAN_00097	CDS	1086	prfA		COG0216	Peptide chain release factor RF1
OHDNGLAN_00098	gene	471				
OHDNGLAN_00098	mRNA	471				
OHDNGLAN_00098	CDS	471				hypothetical protein
OHDNGLAN_00099	gene	879	prmC			
OHDNGLAN_00099	mRNA	879	prmC			
OHDNGLAN_00099	CDS	879	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
OHDNGLAN_00100	gene	804				
OHDNGLAN_00100	mRNA	804				
OHDNGLAN_00100	CDS	804				hypothetical protein
OHDNGLAN_00101	gene	855	kdsA			
OHDNGLAN_00101	mRNA	855	kdsA			
OHDNGLAN_00101	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
OHDNGLAN_00102	gene	948				
OHDNGLAN_00102	mRNA	948				
OHDNGLAN_00102	CDS	948		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
OHDNGLAN_00103	gene	1182	lolC			
OHDNGLAN_00103	mRNA	1182	lolC			
OHDNGLAN_00103	CDS	1182	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
OHDNGLAN_00104	gene	1293	bioA			
OHDNGLAN_00104	mRNA	1293	bioA			
OHDNGLAN_00104	CDS	1293	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
OHDNGLAN_00105	gene	1140	bioF			
OHDNGLAN_00105	mRNA	1140	bioF			
OHDNGLAN_00105	CDS	1140	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
OHDNGLAN_00106	gene	648				
OHDNGLAN_00106	mRNA	648				
OHDNGLAN_00106	CDS	648			COG2830	putative protein
OHDNGLAN_00107	gene	783				
OHDNGLAN_00107	mRNA	783				
OHDNGLAN_00107	CDS	783				hypothetical protein
OHDNGLAN_00108	gene	642	bioD1_1			
OHDNGLAN_00108	mRNA	642	bioD1_1			
OHDNGLAN_00108	CDS	642	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
OHDNGLAN_00109	gene	684	lolD			
OHDNGLAN_00109	mRNA	684	lolD			
OHDNGLAN_00109	CDS	684	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
OHDNGLAN_00110	gene	1251	lolE			
OHDNGLAN_00110	mRNA	1251	lolE			
OHDNGLAN_00110	CDS	1251	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
OHDNGLAN_00111	gene	1089	aroG			
OHDNGLAN_00111	mRNA	1089	aroG			
OHDNGLAN_00111	CDS	1089	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
OHDNGLAN_00112	gene	441				
OHDNGLAN_00112	mRNA	441				
OHDNGLAN_00112	CDS	441				hypothetical protein
OHDNGLAN_00113	gene	1245	sstT			
OHDNGLAN_00113	mRNA	1245	sstT			
OHDNGLAN_00113	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
OHDNGLAN_00114	gene	609	kefG			
OHDNGLAN_00114	mRNA	609	kefG			
OHDNGLAN_00114	CDS	609	kefG	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefG
OHDNGLAN_00115	gene	555	ycdY			
OHDNGLAN_00115	mRNA	555	ycdY			
OHDNGLAN_00115	CDS	555	ycdY		COG3381	Chaperone protein YcdY
OHDNGLAN_00116	gene	555	ydjA			
OHDNGLAN_00116	mRNA	555	ydjA			
OHDNGLAN_00116	CDS	555	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
OHDNGLAN_00117	gene	1848	sppA			
OHDNGLAN_00117	mRNA	1848	sppA			
OHDNGLAN_00117	CDS	1848	sppA	3.4.21.-	COG0616	Protease 4
OHDNGLAN_00118	gene	798				
OHDNGLAN_00118	mRNA	798				
OHDNGLAN_00118	CDS	798				hypothetical protein
OHDNGLAN_00119	gene	702				
OHDNGLAN_00119	mRNA	702				
OHDNGLAN_00119	CDS	702				hypothetical protein
OHDNGLAN_00120	gene	879				
OHDNGLAN_00120	mRNA	879				
OHDNGLAN_00120	CDS	879				hypothetical protein
OHDNGLAN_00121	gene	804	thiK			
OHDNGLAN_00121	mRNA	804	thiK			
OHDNGLAN_00121	CDS	804	thiK	2.7.1.89		Thiamine kinase
OHDNGLAN_00122	gene	2013	mnmC			
OHDNGLAN_00122	mRNA	2013	mnmC			
OHDNGLAN_00122	CDS	2013	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
OHDNGLAN_00123	gene	1221	fabB			
OHDNGLAN_00123	mRNA	1221	fabB			
OHDNGLAN_00123	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
OHDNGLAN_00124	gene	264	grxA			
OHDNGLAN_00124	mRNA	264	grxA			
OHDNGLAN_00124	CDS	264	grxA		COG0695	Glutaredoxin 1
OHDNGLAN_00125	gene	909	rimK			
OHDNGLAN_00125	mRNA	909	rimK			
OHDNGLAN_00125	CDS	909	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
OHDNGLAN_00126	gene	1215	gltS			
OHDNGLAN_00126	mRNA	1215	gltS			
OHDNGLAN_00126	CDS	1215	gltS		COG0786	Sodium/glutamate symporter
OHDNGLAN_00127	gene	2244	parC			
OHDNGLAN_00127	mRNA	2244	parC			
OHDNGLAN_00127	CDS	2244	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
OHDNGLAN_00128	gene	1899	parE			
OHDNGLAN_00128	mRNA	1899	parE			
OHDNGLAN_00128	CDS	1899	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
OHDNGLAN_00129	gene	936	lpxL			
OHDNGLAN_00129	mRNA	936	lpxL			
OHDNGLAN_00129	CDS	936	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
OHDNGLAN_00130	gene	1431	hldE			
OHDNGLAN_00130	mRNA	1431	hldE			
OHDNGLAN_00130	CDS	1431	hldE		COG2870	Bifunctional protein HldE
OHDNGLAN_00131	gene	162				
OHDNGLAN_00131	mRNA	162				
OHDNGLAN_00131	CDS	162				hypothetical protein
OHDNGLAN_00132	gene	96				
OHDNGLAN_00132	mRNA	96				
OHDNGLAN_00132	CDS	96				hypothetical protein
OHDNGLAN_00133	gene	357				
OHDNGLAN_00133	mRNA	357				
OHDNGLAN_00133	CDS	357				hypothetical protein
OHDNGLAN_00134	gene	399				
OHDNGLAN_00134	mRNA	399				
OHDNGLAN_00134	CDS	399				hypothetical protein
OHDNGLAN_00135	gene	561	uup_1			
OHDNGLAN_00135	mRNA	561	uup_1			
OHDNGLAN_00135	CDS	561	uup_1		COG0488	ABC transporter ATP-binding protein uup
OHDNGLAN_00136	gene	690	can			
OHDNGLAN_00136	mRNA	690	can			
OHDNGLAN_00136	CDS	690	can	4.2.1.1	COG0288	Carbonic anhydrase 2
OHDNGLAN_00137	gene	1404	asnS			
OHDNGLAN_00137	mRNA	1404	asnS			
OHDNGLAN_00137	CDS	1404	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
OHDNGLAN_00138	gene	474	ribE			
OHDNGLAN_00138	mRNA	474	ribE			
OHDNGLAN_00138	CDS	474	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
OHDNGLAN_00139	gene	435	nusB			
OHDNGLAN_00139	mRNA	435	nusB			
OHDNGLAN_00139	CDS	435	nusB		COG0781	Transcription antitermination protein NusB
OHDNGLAN_00140	gene	987	thiL			
OHDNGLAN_00140	mRNA	987	thiL			
OHDNGLAN_00140	CDS	987	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
OHDNGLAN_00141	gene	492	pgpA			
OHDNGLAN_00141	mRNA	492	pgpA			
OHDNGLAN_00141	CDS	492	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
OHDNGLAN_00142	gene	630	rhtC			
OHDNGLAN_00142	mRNA	630	rhtC			
OHDNGLAN_00142	CDS	630	rhtC		COG1280	Threonine efflux protein
OHDNGLAN_00143	gene	813	dapB			
OHDNGLAN_00143	mRNA	813	dapB			
OHDNGLAN_00143	CDS	813	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
OHDNGLAN_00144	gene	249	ascD			
OHDNGLAN_00144	mRNA	249	ascD			
OHDNGLAN_00144	CDS	249	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
OHDNGLAN_00145	gene	741				
OHDNGLAN_00145	mRNA	741				
OHDNGLAN_00145	CDS	741				hypothetical protein
OHDNGLAN_00146	gene	990	pheS			
OHDNGLAN_00146	mRNA	990	pheS			
OHDNGLAN_00146	CDS	990	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
OHDNGLAN_00147	gene	2388	pheT			
OHDNGLAN_00147	mRNA	2388	pheT			
OHDNGLAN_00147	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
OHDNGLAN_00148	gene	291	ihfA			
OHDNGLAN_00148	mRNA	291	ihfA			
OHDNGLAN_00148	CDS	291	ihfA		COG0776	Integration host factor subunit alpha
OHDNGLAN_00149	gene	486				
OHDNGLAN_00149	mRNA	486				
OHDNGLAN_00149	CDS	486				hypothetical protein
OHDNGLAN_00150	gene	954				
OHDNGLAN_00150	mRNA	954				
OHDNGLAN_00150	CDS	954				hypothetical protein
OHDNGLAN_00151	gene	891				
OHDNGLAN_00151	mRNA	891				
OHDNGLAN_00151	CDS	891				hypothetical protein
OHDNGLAN_00152	gene	711	SIRT5			
OHDNGLAN_00152	mRNA	711	SIRT5			
OHDNGLAN_00152	CDS	711	SIRT5	2.3.1.286		NAD-dependent protein deacylase sirtuin-5, mitochondrial
OHDNGLAN_00153	gene	498				
OHDNGLAN_00153	mRNA	498				
OHDNGLAN_00153	CDS	498				hypothetical protein
OHDNGLAN_00154	gene	720				
OHDNGLAN_00154	mRNA	720				
OHDNGLAN_00154	CDS	720				hypothetical protein
OHDNGLAN_00155	gene	1029				
OHDNGLAN_00155	mRNA	1029				
OHDNGLAN_00155	CDS	1029				hypothetical protein
OHDNGLAN_00156	gene	201	ftsK			
OHDNGLAN_00156	mRNA	201	ftsK			
OHDNGLAN_00156	CDS	201	ftsK		COG1674	DNA translocase FtsK
OHDNGLAN_00157	gene	846	cobB			
OHDNGLAN_00157	mRNA	846	cobB			
OHDNGLAN_00157	CDS	846	cobB	2.3.1.286		NAD-dependent protein deacetylase
OHDNGLAN_00158	gene	762	stp			
OHDNGLAN_00158	mRNA	762	stp			
OHDNGLAN_00158	CDS	762	stp	3.1.3.16	COG0631	Serine/threonine phosphatase stp
OHDNGLAN_00159	gene	975				
OHDNGLAN_00159	mRNA	975				
OHDNGLAN_00159	CDS	975				hypothetical protein
OHDNGLAN_00160	gene	2052	ftsH_1			
OHDNGLAN_00160	mRNA	2052	ftsH_1			
OHDNGLAN_00160	CDS	2052	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
OHDNGLAN_00161	gene	438				
OHDNGLAN_00161	mRNA	438				
